Item_Barcode,Call_Number,Catalog_Title,Catalog_Author,Created_Date,Last_Activity,Total_Charges
2.04091E+14,LT JOHN,Gold mine mass re /,"Johnstone, William W.",6/24/2021,1/1/1900,0
2.04091E+14,LT JOHN,Cutthroats /,"Johnstone, William W.",3/17/2021,1/1/1900,0
2.04091E+14,LT JOHN,A hill of beans /,"Johnstone, William W.",3/18/2021,1/1/1900,0
2.04091E+14,LT JOHN,They came to kill /,"Johnstone, William W.",3/22/2021,1/1/1900,0
2.04091E+14,LT JOHN,Blood for blood /,"Johnstone, William W.",3/22/2021,1/1/1900,0
2.04091E+14,LT JOHN,North of Laramie /,"Johnstone, William W.",3/22/2021,1/1/1900,0
2.04091E+14,LT JOHN,Killer take all /,"Johnstone, William W.",3/22/2021,1/1/1900,0
2.04091E+14,LT JOHN,Journey into violence : a Texas dynasty : the Kerrigans /,"Johnstone, William W.",4/7/2021,1/1/1900,0
2.04091E+14,LT JOHN,"The hour of death : sixkiller, U.S. marshal /","Johnstone, William W.",4/12/2021,1/1/1900,0
2.04091E+14,LT JOHN,Pre her's kill /,"Johnstone, William W.",4/13/2021,1/1/1900,0
2.04091E+14,LT JOHN,Hired guns /,"Johnstone, William W.",4/13/2021,1/1/1900,0
2.04091E+14,LT JOHN,The great train mass re /,"Johnstone, William W.",4/1/2021,1/1/1900,0
2.04091E+14,LT JOHN,The b kstabbers /,"Johnstone, William W.",4/12/2021,1/1/1900,0
2.04091E+14,LT JOHN,M Callister: stranglehold /,"Johnstone, William W.",4/12/2021,1/1/1900,0
2.04091E+14,LT JOHN,Bury the hatchett /,"Johnstone, William W.",5/12/2021,1/1/1900,0
2.04091E+14,LT JOHN,Buzzard's bluff /,"Johnstone, William W.",7/5/2021,1/1/1900,0
2.04091E+14,LT JOHN,Bullet for a stranger /,"Johnstone, William W.",7/5/2021,1/1/1900,0
2.04091E+14,LT JOHN,The devil you know /,"Johnstone, William W.,",12/30/2021,1/1/1900,0
2.04091E+14,LT JOHN,Red River vengeances /,"Johnstone, William W.,",12/30/2021,1/1/1900,0
2.04091E+14,LT JOHN,Savage Sunday /,"Johnstone, William W.,",2/10/2022,1/1/1900,0
2.04091E+14,LT JOHN,Every mother's son /,"Johnstone, William W.",11/30/2021,1/1/1900,0
2.04091E+14,LT JOHN,By the neck /,"Johnstone, William W.,",11/30/2021,1/1/1900,0
2.04091E+14,LT JOHN,"Go west, young man /","Johnstone, William W.,",12/3/2021,1/1/1900,0
2.04091E+14,LT JOHN,The intruders /,"Johnstone, William W.,",12/6/2021,1/1/1900,0
2.04091E+14,LT JOHN,A quiet little town /,"Johnstone, William W.",11/15/2021,1/1/1900,0
2.04091E+14,LT JOHN,The wicked die twice /,"Johnstone, William W.,",11/16/2021,1/1/1900,0
2.04091E+14,LT JOHN,Blood on the dust /,"Johnstone, William W.",11/17/2021,1/1/1900,0
2.04091E+14,LT JOHN,Blood and bullets /,"Johnstone, William W.,",2/28/2022,1/1/1900,0
2.04091E+14,LT JOHN,When all hell brok loose /,"Johnstone, William W.,",3/24/2022,1/1/1900,0
2.04091E+14,LT JOHN,Hunter's moon /,"Johnstone, William W.,",1/27/2022,1/1/1900,0
2.04091E+14,LT JOHN,Last stage to El Paso /,"Johnstone, William W.,",6/28/2022,1/1/1900,0
2.04091E+14,LT JOHN,Prairie fire /,"Johnstone, William W.,",5/25/2022,1/1/1900,0
2.04091E+14,LT JONE,The only good Indians /,"Jones, Stephen Graham,",11/18/2021,1/1/1900,0
2.04091E+14,LT JONE,My heart is a chainsaw /,"Jones, Stephen Graham,",1/24/2022,1/1/1900,0
2.04091E+14,LT KANE,This ardent flame /,"Kanell, Beth,",1/27/2022,1/1/1900,0
2.04091E+14,LT KARO,The Mitford snowmen : a Christmas story /,"Karon, Jan,",1/29/2002,10/26/2020,23
2.04091E+14,LT KATZ,The madman's tale /,"Katzenb h, John,",8/3/2021,1/1/1900,0
2.04091E+14,LT KELL,Compulsion : an Alex Delaware novel /,"Kellerman, Jonathan",10/22/2018,9/30/2020,2
2.04091E+14,LT KELL,The murder book /,"Kellerman, Jonathan",7/16/2021,1/1/1900,0
2.04092E+14,LT KELL,Time bomb /,"Kellerman, Jonathan",10/18/2018,9/30/2020,1
2.04091E+14,LT KENE,The Dickens boy /,"Keneally, Thomas,",3/23/2022,1/1/1900,0
2.04091E+14,LT KENT,The heretic's daughter : a novel /,"Kent, Kathleen,",6/3/2021,1/1/1900,0
2.04091E+14,LT KILP,The valet's secret /,"Kilp k, Josi S.,",5/4/2022,1/1/1900,0
2.04091E+14,LT KING,Unsheltered : a novel /,"Kingsolver, Barbara",10/25/2018,9/5/2019,19
2.04091E+14,LT KINS,Shopaholic & baby /,"Kinsella, Sophie,",6/16/2021,1/1/1900,0
2.04091E+14,LT KINS,The party crasher : a novel /,"Kinsella, Sophie,",1/24/2022,1/1/1900,0
2.04091E+14,LT KOON,Saint Odd : an Odd Thomas novel /,"Koontz, Dean R. (Dean Ray),",1/7/2015,3/1/2018,19
2.04091E+14,LT KOON,The forbidden door /,"Koontz, Dean R.,",3/17/2021,1/1/1900,0
2.04091E+14,LT KREN,Copper Be h /,"Krentz, Jayne Ann.",2/13/2012,10/16/2020,27
2.04091E+14,LT KREN,Man with a past /,"Krentz, Jayne Ann,",7/20/2021,1/1/1900,0
2.04091E+14,LT KRUP,The family /,"Krupitsky, Naomi,",3/30/2022,1/1/1900,0
2.04091E+14,LT L'AM,The collected short stories of Louis L'Amour : the frontier stories.,"L'Amour, Louis,",7/22/2021,1/1/1900,0
2.04091E+14,LT L'AM,The collected short stories of Louis L'Amour : the frontier stories.,"L'Amour, Louis,",7/22/2021,1/1/1900,0
2.04091E+14,LT L'AM,May there be a road /,"L'Amour, Louis,",11/9/2021,1/1/1900,0
2.04091E+14,LT L'AM,With these hands /,"L'Amour, Louis,",11/9/2021,1/1/1900,0
2.04091E+14,LT L'AM,The Californios /,"L'Amour, Louis,",3/15/2022,1/1/1900,0
2.04091E+14,LT LAUR,The reasons for marriage /,"Laurens, Stephanie,",8/25/2021,1/1/1900,0
2.04091E+14,LT LEWI,Rio Ruidoso /,"Lewis, Preston,",12/3/2021,1/1/1900,0
2.04091E+14,LT LEWI,Choctaw trail,"Lewis, Preston,",1/27/2022,1/1/1900,0
2.04091E+14,LT LEWI,Rio Bonito /,"Lewis, Preston,",5/4/2022,1/1/1900,0
2.04091E+14,LT LIAR,Think of me /,"Liardet, Frances,",7/20/2022,1/1/1900,0
2.04091E+14,LT LISS,A spect le of corruption /,"Liss, David,",6/4/2021,1/1/1900,0
2.04091E+14,LT LONG,Marrying Matthew /,"Long, Kelly",5/4/2022,1/1/1900,0
2.04091E+14,LT LONG,Courting Caleb /,"Long, Kelly",7/20/2022,1/1/1900,0
2.04091E+14,LT LOWE,Chain lightning /,"Lowell, Elizabeth,",3/6/2006,9/30/2020,38
2.04091E+14,LT LUDL,Robert Ludlum's The Bourne betrayal /,"Lustbader, Eric",6/3/2021,1/1/1900,0
2.04091E+14,LT MANN,Flintlock /,"Manning, Jason,",12/30/2021,1/1/1900,0
2.04091E+14,LT MANN,High country /,"Manning, Jason,",11/30/2021,1/1/1900,0
2.04091E+14,LT MARG,A matter of life and death /,"Margolin, Phillip",6/24/2021,1/1/1900,0
2.04091E+14,LT MART,The dream /,"Martin, Kat",6/3/2021,1/1/1900,0
2.04091E+14,LT MASO,Viking! /,"Mason, Connie,",6/18/2021,1/1/1900,0
2.04091E+14,LT MCIN,Green thumb /,"McInerny, Ralph,",6/3/2021,1/1/1900,0
2.04091E+14,LT MEYE,The penny : a novel /,"Meyer, Joyce,",6/11/2021,1/1/1900,0
2.04091E+14,LT MICH,"Hey, good looking /","Michaels, Fern,",5/8/2006,10/16/2020,37
2.04091E+14,LT MICH,Free fall /,"Michaels, Fern,",8/20/2008,10/16/2020,25
2.04091E+14,LT MONR,Empty vows /,"Monroe, Mary,",5/4/2022,1/1/1900,0
2.04091E+14,LT MORR,Jordan's star /,"Morris, Gilbert,",12/15/2003,9/16/2020,37
2.04091E+14,LT MORR,The spider catcher /,"Morris, Gilbert,",2/13/2004,9/30/2020,35
2.04091E+14,LT MOSL,Little Scarlet /,"Mosley, Walter",10/20/2004,9/30/2020,16
2.04091E+14,LT MOSL,Blonde faith /,"Mosley, Walter",2/27/2008,9/27/2018,10
2.04091E+14,LT MOSL,Little green : an easy Rawlings mystery /,"Mosley, Walter",2/20/2014,9/30/2020,9
2.04091E+14,LT MOSL,And sometimes I wonder about you /,"Mosley, Walter",5/10/2016,9/27/2018,9
2.04091E+14,LT MOSL,Rose gold /,"Mosley, Walter",5/16/2017,5/28/2019,2
2.04091E+14,LT MOYE,Sheltering rain /,"Moyes, Jojo,",3/7/2014,9/16/2020,41
2.04091E+14,LT MULL,Vanishing point /,"Muller, Marcia",10/23/2006,10/16/2020,38
2.04091E+14,LT MULL,Coming b k /,"Muller, Marcia",12/6/2010,2/4/2020,22
2.04091E+14,LT NANC,Fire flight /,"Nance, John J.,",6/3/2021,1/1/1900,0
2.04091E+14,LT NOVA,When summer comes /,"Novak, Brenda",3/30/2021,1/1/1900,0
2.04091E+14,LT NOVA,Body heat /,"Novak, Brenda",7/20/2021,1/1/1900,0
2.04091E+14,LT NOVA,Come home to me /,"Novak, Brenda",3/24/2021,1/1/1900,0
2.04091E+14,LT O'CO,Stone angel /,"O'Connell, Carol,",10/15/2018,9/30/2020,1
2.04091E+14,LT O'SH,Case of lies /,"O'Shaughnessy, Perri,",10/15/2018,1/1/1900,0
2.04091E+14,LT O'SH,Dreams of the dead /,"O'Shaughnessy, Perri.",10/1/2018,9/30/2020,6
2.04091E+14,LT O'SH,Unfit to pr tice /,"O'Shaughnessy, Perri,",6/4/2021,1/1/1900,0
2.04091E+14,LT O'SH,Unlucky in law /,"O'Shaughnessy, Perri.",6/8/2021,1/1/1900,0
2.04091E+14,LT ORCH,Deadly devotion /,"Orchard, Sandra",4/24/2014,1/22/2021,30
2.04091E+14,LT ORCH,A fool and his Monet /,"Orchard, Sandra",2/11/2016,9/30/2020,10
2.04091E+14,LT OWEN,The ballroom on Magnolia Street /,"Owens, Sharon,",7/14/2021,1/1/1900,0
2.04091E+14,LT PAGE,The body in the casket : a Faith Fairchild mystery /,"Page, Katherine Hall",12/1/2017,10/29/2020,13
2.04091E+14,LT PARE,Body work /,"Paretsky, Sara,",9/28/2010,3/4/2020,10
2.04091E+14,LT PARE,Breakdown /,"Paretsky, Sara,",1/12/2012,1/23/2021,13
2.04091E+14,LT PARK,Appaloosa /,"Parker, Robert B.,",7/18/2005,9/30/2020,41
2.04091E+14,LT PARK,Brimstone /,"Parker, Robert B.,",6/17/2009,10/29/2020,23
2.04091E+14,LT PARK,Blue-eyed devil /,"Parker, Robert B.,",9/20/2010,2/26/2020,11
2.04091E+14,LT PARK,Sixkill /,"Parker, Robert B.,",6/7/2011,6/30/2016,15
2.04091E+14,LT PARK,Robert B. Parker's Ironhorse /,"Knott, Robert,",3/14/2013,9/30/2020,22
2.04091E+14,LT PARK,Iron river /,"Parker, T. Jeffferson,",6/21/2021,1/1/1900,0
2.04091E+14,LT PATT,Alex Cross's trial /,"Patterson, James,",8/19/2009,1/23/2021,34
2.04091E+14,LT PATT,Don't blink /,"Patterson, James,",9/23/2010,9/16/2020,46
2.04091E+14,LT PATT,Guilty wives /,"Patterson, James,",4/3/2012,9/30/2020,35
2.04091E+14,LT PATT,Private Berlin /,"Patterson, James,",1/4/2013,9/16/2020,27
2.04091E+14,LT PATT,NYPD red 2 /,"Patterson, James,",4/4/2014,6/19/2020,26
2.04091E+14,LT PATT,Private Vegas /,"Patterson, James,",1/7/2015,9/30/2020,28
2.04091E+14,LT PATT,NYPD red 3 /,"Patterson, James,",3/4/2015,6/19/2020,19
2.04091E+14,LT PATT,The games /,"Patterson, James,",7/8/2016,9/30/2020,11
2.04091E+14,LT PATT,NYPD Red 4 /,"Patterson, James,",3/10/2016,3/4/2020,21
2.04091E+14,LT PATT,Private Paris /,"Patterson, James,",2/8/2016,1/23/2021,5
2.04091E+14,LT PATT,Cross the line /,"Patterson, James,",12/19/2016,6/19/2020,19
2.04091E+14,LT PATT,The First Lady /,"Patterson, James,",9/5/2019,7/17/2020,12
2.04091E+14,LT PATT,Obituary for Howard Gray /,"Pattinson, James,",7/15/2021,1/1/1900,0
2.04091E+14,LT PAUL,J kie and Maria : a novel of J kie Kennedy & Maria Callas /,"Paul, Gill,",12/15/2020,12/17/2020,0
2.04091E+14,LT PAXS,The book of the cauldron /,"Paxson, Diana L.,",6/3/2021,1/1/1900,0
2.04091E+14,LT PEAR,Parallel lies /,"Pearson, Ridley",10/15/2018,1/1/1900,0
2.04091E+14,LT PEAR,Choke point /,"Pearson, Ridley.",6/5/2013,10/29/2020,20
2.04091E+14,LT PEAR,White bone /,"Pearson, Ridley",8/11/2016,9/30/2020,6
2.04091E+14,LT PEAR,The body of David Hayes /,"Pearson, Ridley",6/21/2021,1/1/1900,0
2.04091E+14,LT PERE,Illusion /,"Peretti, Frank E.",9/28/2018,9/30/2020,1
2.04091E+14,LT PETE,He shall thunder in the sky /,"Peters, Elizabeth,",11/2/2001,2/25/2020,15
2.04091E+14,LT PLAI,Heartwood : a novel /,"Plain, Belva.",2/10/2011,1/21/2021,20
2.04091E+14,LT POTT,The last Nazi /,"Pottinger, Stanley,",6/3/2021,1/1/1900,0
2.04091E+14,LT POWE,Bewilderment : a novel  /,"Powers, Richard,",4/27/2022,1/1/1900,0
2.04091E+14,LT POWE,The overstory : a novel /,"Powers, Richard,",5/4/2022,1/1/1900,0
2.04091E+14,LT PRES,The Kraken project /,"Preston, Douglas J.",8/29/2014,9/30/2020,12
2.04091E+14,LT PRES,Still life with crows /,"Preston, Douglas J.,",6/7/2021,1/1/1900,0
2.04091E+14,LT PRON,Mourners : a nameless detective novel /,"Pronzini, Bill",9/28/2018,1/1/1900,0
2.04091E+14,LT PRON,The crimes of Jordan Wise /,"Pronzini, Bill,",1/8/2007,9/30/2020,10
2.04091E+14,LT PRON,Camouflage : a nameless detective novel /,"Pronzini, Bill",9/23/2011,10/29/2020,8
2.04091E+14,LT PUTN,A distant magic /,"Putney, Mary Jo,",10/15/2018,1/1/1900,0
2.04091E+14,LT PUTN,No longer a gentleman /,"Putney, Mary Jo,",2/20/2014,1/21/2021,11
2.04091E+14,LT PUTN,Once a laird /,"Putney, Mary Jo,",11/29/2021,1/1/1900,0
2.04091E+14,LT RAND,Lone Star Law /,,11/30/2021,1/1/1900,0
2.04091E+14,LT RED,The Crimson Trail /,"Red, Eric,",11/22/2021,1/1/1900,0
2.04091E+14,LT RED,Branded /,"Red, Eric,",11/16/2021,1/1/1900,0
2.04091E+14,LT REID,Malibu rising : a novel /,"Reid, Taylor Jenkins",11/15/2021,1/1/1900,0
2.04091E+14,LT REID,After I do : a novel /,"Reid, Taylor Jenkins,",5/24/2022,1/1/1900,0
2.04091E+14,LT RICH,GodPretty in the tob co field /,"Richardson, Kim Michele,",7/11/2022,1/1/1900,0
2.04091E+14,LT ROBA,The Moscow deception /,"Robards, Karen",3/17/2021,1/1/1900,0
2.04091E+14,LT ROBB,Obsession in death /,"Robb, J. D.,",2/2/2015,1/21/2021,14
2.04091E+14,LT ROBB,Fantasy in death /,"Robb, J. D.,",3/30/2021,1/1/1900,0
2.04091E+14,LT ROSS,Impulse /,"Ross, JoAnn,",6/3/2021,1/1/1900,0
2.04091E+14,LT ROWL,Lily and the octopus /,"Rowley, Steven,",6/6/2016,9/30/2020,7
2.04091E+14,LT RUSH,Now I lay me down to sleep /,"Rushford, Patricia H.,",8/15/1997,2/21/2020,49
2.04091E+14,LT RYAN,Naughty Marietta /,"Ryan, Nan,",6/17/2021,1/1/1900,0
2.04091E+14,LT SCAL,The last Emperox /,"Scalzi, John,",3/17/2021,1/1/1900,0
2.04091E+14,LT SCAL,The collapsing empire /,"Scalzi, John,",3/22/2021,1/1/1900,0
2.04091E+14,LT SCAL,The consuming fire /,"Scalzi, John,",3/24/2021,1/1/1900,0
2.04091E+14,LT SHAL,Playing for keeps : a Heartbreaker Bay novel /,"Shalvis, Jill,",3/7/2019,9/30/2020,4
2.04091E+14,LT SHER,Shadow Rider : Ghost warrior /,"Sherman, Jory,",4/13/2021,1/1/1900,0
2.04091E+14,LT SHER,Ap he sundown /,"Sherman, Jory,",3/22/2021,1/1/1900,0
2.04091E+14,LT SHER,Blood sky at morning /,"Sherman, Jory,",3/22/2021,1/1/1900,0
2.04091E+14,LT SHIP,Great circle /,"Shipstead, Maggie",11/15/2021,1/1/1900,0
2.04091E+14,LT SHRE,Fortune's rocks : a novel /,"Shreve, Anita.",12/29/2004,9/30/2020,19
2.04091E+14,LT SILV,House of spies /,"Silva, Daniel,",8/24/2017,9/30/2020,10
2.04091E+14,LT SMIL,Ten days in the hills /,"Smiley, Jane.",12/18/2007,1/21/2021,14
2.04091E+14,LT SMIT,Desert god /,"Smith, Wilbur A.",7/8/2014,9/30/2020,4
2.04091E+14,LT SMIT,Predator : a crossbow adventure /,"Smith, Wilbur A.",11/10/2015,9/30/2020,19
2.04091E+14,LT SMIT,Pharaoh /,"Smith, Wilbur A.",7/21/2016,12/21/2018,12
2.04091E+14,LT SMIT,War cry /,"Smith, Wilbur A.",4/4/2017,10/29/2020,6
2.04091E+14,LT SMIT,The tiger's prey : a novel of adventure /,"Smith, Wilbur A.",10/17/2017,10/29/2020,6
2.04091E+14,LT SMIT,Stalin's ghost /,"Smith, Martin Cruz,",6/4/2021,1/1/1900,0
2.04091E+14,LT SMIT,Heather /,"Smith, Debra White,",7/16/2021,1/1/1900,0
2.04091E+14,LT SOUT,French leave /,"South, Sheri Cobb.",6/9/2005,9/30/2020,20
2.04091E+14,LT STON,Caroline's journal /,"Stone, Katherine,",1/4/2007,9/30/2020,23
2.04091E+14,LT STOR,Stories from suffragette city /,"Rose, M. J.,",5/26/2021,1/1/1900,0
2.04091E+14,LT STRA,In the night room : a novel /,"Straub, Peter,",6/7/2021,1/1/1900,0
2.04091E+14,LT STRO,Sweet love /,"Strohmeyer, Sarah,",8/27/2008,10/29/2020,57
2.04091E+14,LT STUA,Silver Falls /,"Stuart, Anne (Anne Kristine),",6/4/2021,1/1/1900,0
2.04091E+14,LT TANE,Absolute rage /,"Tanenbaum, Robert,",7/14/2021,1/1/1900,0
2.04091E+14,LT TRIG,The good left undone /,"Trigiani, Adriana,",6/23/2022,1/1/1900,0
2.04091E+14,LT TURA,Diamond in the rough /,"Turano, Jen,",4/13/2021,1/1/1900,0
2.04091E+14,LT TURA,To disguise the truth /,"Turano, Jen,",6/9/2022,1/1/1900,0
2.04091E+14,LT TURO,Identical /,"Turow, Scott,",8/6/2013,1/4/2018,26
2.04091E+14,LT TURO,Testimony /,"Turow, Scott,",5/9/2017,12/17/2017,9
2.04091E+14,LT TWO,"Two of the deadliest : new tales of lust, greed, and murder from outstanding women of mystery /",,7/22/2009,2/25/2020,23
2.04091E+14,LT UMRI,Honor : a novel /,"Umrigar, Thrity N.,",4/27/2022,1/1/1900,0
2.04091E+14,LT VINE,The child's child /,"Vine, Barbara,",10/30/2012,9/30/2020,19
2.04091E+14,LT WALS,Hostile intent /,"Walsh, Michael,",6/3/2021,1/1/1900,0
2.04091E+14,LT WARE,The lying game /,"Ware, Ruth",5/21/2021,1/1/1900,0
2.04091E+14,LT WARR,Finding Stefanie /,"Warren, Susan May,",8/25/2021,1/1/1900,0
2.04091E+14,LT WEIR,"Katheryn Howard, the scandalous queen /","Weir, Alison,",4/12/2021,1/1/1900,0
2.04091E+14,LT WEIR,The last white rose : a novel of Elizabeth of York /,"Weir, Alison,",6/28/2022,1/1/1900,0
2.04091E+14,LT WHIT,Edge of the wilderness /,"Whitson, Stephanie Gr e,",9/17/2004,10/29/2020,29
2.04091E+14,LT WHIT,The last lie /,"White, Stephen,",9/28/2010,1/21/2021,9
2.04091E+14,LT WHIT,"Wives, fiancées, and side-chicks of Hotlanta /","Whitfield, Shereé,",3/21/2017,9/30/2020,3
2.04091E+15,LT WOOD,Naked greed /,"Woods, Stuart",8/18/2015,2/21/2020,23
2.04091E+14,LT WOOD,Unnatural  ts /,"Woods, Stuart",5/25/2012,2/21/2020,20
2.04091E+14,LT WOOD,Dishonorable intentions /,"Woods, Stuart",6/6/2016,9/30/2020,13
2.04091E+14,LT WOOD,Barely legal /,"Woods, Stuart",8/9/2017,4/23/2019,12
2.04091E+14,LT WOOD,Shoot first :(think later) : a Stone Barrington novel /,"Woods, Stuart",4/2/2018,9/16/2020,12
2.04091E+14,LT WOOD,Fast & loose /,"Woods, Stuart",3/17/2021,1/1/1900,0
2.04091E+14,LT YOON,Snow hunters /,"Yoon, Paul,",2/20/2014,9/30/2020,13
